HYDROSTATIC TABLE – BG ARK CARNELIAN
Condition: NO TRIM, NO HEEL, VCG = 0.000

Draft (m) | DISP (MT) | LCB (m) | VCB (m) | TPC | LCF (m) | deg trim | KML | KMT
3.450 | 6925.07 | 46.262f | 1.783 | 21.74 | 45.054f | 24234 | 144.46 | 12.972
3.500 | 7033.90 | 46.207f | 1.809 | 21.78 | 45.008f | 24373 | 144.46 | 12.972
3.550 | 7142.93 | 46.151f | 1.835 | 21.82 | 44.951f | 24515 | 144.46 | 12.972
3.600 | 7252.17 | 46.096f | 1.861 | 21.86 | 44.883f | 24657 | 144.46 | 12.972
3.650 | 7361.62 | 46.040f | 1.887 | 21.91 | 44.835f | 24802 | 144.46 | 12.972
3.700 | 7471.28 | 45.985f | 1.913 | 21.95 | 44.777f | 24948 | 144.46 | 12.972
3.750 | 7581.14 | 45.929f | 1.939 | 21.99 | 44.718f | 25097 | 144.46 | 12.972
3.800 | 7691.22 | 45.874f | 1.965 | 22.03 | 44.657f | 25247 | 144.46 | 12.972
3.850 | 7801.51 | 45.818f | 1.991 | 22.07 | 44.596f | 25399 | 144.46 | 12.972
3.900 | 7912.02 | 45.763f | 2.017 | 22.12 | 44.535f | 25554 | 144.46 | 12.972
3.950 | 8022.73 | 45.707f | 2.043 | 22.16 | 44.473f | 25709 | 144.46 | 12.972
4.000 | 8133.65 | 45.652f | 2.069 | 22.20 | 44.416f | 25856 | 144.46 | 12.972
4.050 | 8244.68 | 45.596f | 2.095 | 22.19 | 44.449f | 25951 | 144.46 | 12.972
4.100 | 8355.75 | 45.541f | 2.121 | 22.20 | 44.460f | 25883 | 144.46 | 12.972
4.150 | 8466.85 | 45.485f | 2.147 | 22.21 | 44.470f | 25916 | 144.46 | 12.972
4.200 | 8577.95 | 45.430f | 2.173 | 22.21 | 44.481f | 25949 | 144.46 | 12.972
4.250 | 8689.17 | 45.374f | 2.199 | 22.22 | 44.491f | 25982 | 144.46 | 12.972
4.300 | 8800.40 | 45.319f | 2.225 | 22.23 | 44.502f | 26015 | 144.46 | 12.972
4.350 | 8911.67 | 45.263f | 2.251 | 22.24 | 44.512f | 26050 | 144.46 | 12.972
4.400 | 9022.97 | 45.208f | 2.277 | 22.24 | 44.523f | 26083 | 144.46 | 12.972
4.450 | 9134.32 | 45.152f | 2.303 | 22.25 | 44.534f | 26118 | 144.46 | 12.972
4.500 | 9245.71 | 45.097f | 2.329 | 22.25 | 44.545f | 26152 | 144.46 | 12.972
4.550 | 9357.15 | 45.041f | 2.355 | 22.26 | 44.555f | 26186 | 144.46 | 12.972
4.600 | 9463.63 | 44.986f | 2.381 | 22.20 | 44.420f | 25957 | 144.46 | 12.972
4.650 | 9579.75 | 45.030f | 2.407 | 22.22 | 44.466f | 26051 | 144.46 | 12.972
4.700 | 9690.86 | 45.030f | 2.433 | 22.22 | 44.466f | 26060 | 144.46 | 12.972
4.750 | 9801.99 | 45.030f | 2.459 | 22.22 | 44.466f | 26069 | 144.46 | 12.972
4.800 | 9913.10 | 45.030f | 2.485 | 22.22 | 44.466f | 26079 | 144.46 | 12.972
4.850 | 10024.22 | 45.030f | 2.511 | 22.22 | 44.466f | 26088 | 144.46 | 12.972
4.900 | 10135.34 | 45.030f | 2.537 | 22.22 | 44.466f | 26097 | 144.46 | 12.972
4.950 | 10246.45 | 45.030f | 2.563 | 22.22 | 44.466f | 26107 | 144.46 | 12.972
5.000 | 10357.59 | 45.030f | 2.589 | 22.22 | 44.466f | 26117 | 144.46 | 12.972
